Vendor_ID,Vendor_Name,Order Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Status_rate, Total Spend , Savings ,Defective_Rate,Comp_rate
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1549,48.9,42.42,48,Yes,72.29," ? 65,708.58 "," ? 10,037.52 ",3.10,98%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,749,97.07,94.16,123,Yes,70.18," ? 70,525.84 "," ? 2,179.59 ",16.42,61%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,1025,21.11,19.25,15,Yes,75.89," ? 19,731.25 "," ? 1,906.50 ",1.46,94%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1856,59.77,50.81,191,Yes,70.51," ? 94,303.36 "," ? 16,629.76 ",10.29,76%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,239,11.46,11.28,4,Yes,72.29," ? 2,695.92 ", ? 43.02 ,1.67,98%
Vendor_03,Delta_Logistics,2022,Office Supplies,Pending,1007,52.44,46.06,167,Yes,9.94," ? 46,382.42 "," ? 6,424.66 ",16.58,61%
Vendor_01,Alpha_Inc,2023,MRO,Pending,736,16.2,15.33,18,Yes,7.80," ? 11,282.88 ", ? 640.32 ,2.45,94%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1007,22.56,19.59,33,Yes,72.29," ? 19,727.13 "," ? 2,990.79 ",3.28,98%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,612,20.99,19.75,102,Yes,70.18," ? 12,087.00 ", ? 758.88 ,16.67,61%
Vendor_01,Alpha_Inc,2023,MRO,Pending,1949,72.53,63.26,48,No,7.80," ? 1,23,293.74 "," ? 18,067.23 ",2.46,6%
Vendor_03,Delta_Logistics,2022,Office Supplies,Cancelled,1640,77.92,76.41,262,No,9.36," ? 1,25,312.40 "," ? 2,476.40 ",15.98,39%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1317,68.13,60.52,136,Yes,70.51," ? 79,704.84 "," ? 10,022.37 ",10.33,76%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,881,100.94,95.05,30,Yes,72.29," ? 83,739.05 "," ? 5,189.09 ",3.41,98%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1578,48.33,42.77,206,Yes,70.18," ? 67,491.06 "," ? 8,773.68 ",13.05,61%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,1204,39.29,35.44,155,Yes,70.18," ? 42,669.76 "," ? 4,635.40 ",12.87,61%
Vendor_04,Epsilon_Group,2023,MRO,Pending,1558,93.46,91.27,39,Yes,10.84," ? 1,42,198.66 "," ? 3,412.02 ",2.50,98%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1892,32.99,28.81,35,Yes,75.89," ? 54,508.52 "," ? 7,908.56 ",1.85,94%
Vendor_04,Epsilon_Group,2022,Packaging,Delivered,696,99.59,90.18,25,Yes,72.29," ? 62,765.28 "," ? 6,549.36 ",3.59,98%
Vendor_03,Delta_Logistics,2023,MRO,Partially Delivered,70,12.37,11.04,10,Yes,10.53, ? 772.80 , ? 93.10 ,14.29,61%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,890,98.26,93.14,49,Yes,72.03," ? 82,894.60 "," ? 4,556.80 ",5.51,86%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,216,13.95,12.31,5,Yes,75.89," ? 2,658.96 ", ? 354.24 ,2.31,94%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1347,100.13,94.3,200,Yes,70.18," ? 1,27,022.10 "," ? 7,853.01 ",14.85,61%
Vendor_05,Gamma_Co,2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,No,12.59," ? 24,668.65 "," ? 1,337.22 ",5.72,14%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,650,103.84,88.28,12,Yes,75.89," ? 57,382.00 "," ? 10,114.00 ",1.85,94%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,365,16.81,15.41,38,Yes,70.51," ? 5,624.65 ", ? 511.00 ,10.41,76%
Vendor_04,Epsilon_Group,2022,Raw Materials,Cancelled,63,61.94,53.8,33,Yes,8.43," ? 3,389.40 ", ? 512.82 ,52.38,98%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,291,98.7,87.02,9,Yes,75.89," ? 25,322.82 "," ? 3,398.88 ",3.09,94%
Vendor_01,Alpha_Inc,2023,MRO,Cancelled,826,60.5,57.18,18,Yes,9.22," ? 47,230.68 "," ? 2,742.32 ",2.18,94%
Vendor_03,Delta_Logistics,2022,Electronics,Pending,1419,69.64,59.28,194,Yes,9.94," ? 84,118.32 "," ? 14,700.84 ",13.67,61%
Vendor_05,Gamma_Co,2023,Office Supplies,Delivered,614,78.06,73.95,40,Yes,72.03," ? 45,405.30 "," ? 2,523.54 ",6.51,86%
Vendor_01,Alpha_Inc,2023,Electronics,Delivered,947,56.25,54.25,19,Yes,75.89," ? 51,374.75 "," ? 1,894.00 ",2.01,94%
Vendor_04,Epsilon_Group,2023,Raw Materials,Delivered,1413,70.47,69.65,33,Yes,72.29," ? 98,415.45 "," ? 1,158.66 ",2.34,98%
Vendor_01,Alpha_Inc,2022,Office Supplies,Partially Delivered,141,64.15,58.32,24,Yes,7.09," ? 8,223.12 ", ? 822.03 ,17.02,94%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,1440,96.57,83.87,36,Yes,75.89," ? 1,20,772.80 "," ? 18,288.00 ",2.50,94%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1005,14.87,12.79,155,No,70.18," ? 12,853.95 "," ? 2,090.40 ",15.42,39%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,1528,36.52,33,31,No,75.89," ? 50,424.00 "," ? 5,378.56 ",2.03,6%
Vendor_05,Gamma_Co,2023,MRO,Delivered,1501,106.05,100.99,77,No,72.03," ? 1,51,585.99 "," ? 7,595.06 ",5.13,14%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,558,94.18,81.4,155,No,70.18," ? 45,421.20 "," ? 7,131.24 ",27.78,39%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,825,56.88,50.84,105,Yes,70.51," ? 41,943.00 "," ? 4,983.00 ",12.73,76%
Vendor_02,Beta_Supplies,2023,Electronics,Cancelled,84,73.38,71.42,9,Yes,8.97," ? 5,999.28 ", ? 164.64 ,10.71,76%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,255,38.64,33.59,27,No,70.18," ? 8,565.45 "," ? 1,287.75 ",10.59,39%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1154,27.2,26.07,58,Yes,72.03," ? 30,084.78 "," ? 1,304.02 ",5.03,86%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,1635,56.91,54.37,262,No,70.18," ? 88,894.95 "," ? 4,152.90 ",16.02,39%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1945,46.19,40.12,278,No,70.18," ? 78,033.40 "," ? 11,806.15 ",14.29,39%
Vendor_03,Delta_Logistics,2022,MRO,Partially Delivered,1461,64.09,63.39,228,No,10.53," ? 92,612.79 "," ? 1,022.70 ",15.61,39%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,1075,18.53,16.12,147,Yes,70.18," ? 17,329.00 "," ? 2,590.75 ",13.67,61%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1071,101.6,93.91,25,Yes,75.89," ? 1,00,577.61 "," ? 8,235.99 ",2.33,94%
Vendor_04,Epsilon_Group,2022,Packaging,Pending,1463,101.23,86.17,43,Yes,10.84," ? 1,26,066.71 "," ? 22,032.78 ",2.94,98%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,615,78.3,73.68,69,Yes,70.51," ? 45,313.20 "," ? 2,841.30 ",11.22,76%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,1179,61.74,56.28,55,Yes,72.03," ? 66,354.12 "," ? 6,437.34 ",4.66,86%
Vendor_01,Alpha_Inc,2022,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes,7.09," ? 69,427.35 "," ? 3,560.85 ",2.44,94%
Vendor_02,Beta_Supplies,2023,Electronics,Cancelled,1895,91.98,86.27,170,Yes,8.97," ? 1,63,481.65 "," ? 10,820.45 ",8.97,76%
Vendor_04,Epsilon_Group,2023,MRO,Partially Delivered,1550,79.86,69.57,32,No,12.59," ? 1,07,833.50 "," ? 15,949.50 ",2.06,86%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,752,26.85,24.37,155,No,70.18," ? 18,326.24 "," ? 1,864.96 ",20.61,39%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,451,95.2,90.07,21,Yes,72.29," ? 40,621.57 "," ? 2,313.63 ",4.66,98%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,779,93.69,90.92,66,Yes,70.51," ? 70,826.68 "," ? 2,157.83 ",8.47,76%
Vendor_02,Beta_Supplies,2022,MRO,Pending,1629,100.26,86.44,187,No,12.18," ? 1,40,810.76 "," ? 22,512.78 ",11.48,24%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,211,75.69,65.4,2,Yes,75.89," ? 13,799.40 "," ? 2,171.19 ",0.95,94%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,251,67.49,64.48,2,Yes,75.89," ? 16,184.48 ", ? 755.51 ,0.80,94%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,1045,47.88,44.65,69,Yes,72.03," ? 46,659.25 "," ? 3,375.35 ",6.60,86%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,319,98.64,89.15,57,Yes,70.18," ? 28,438.85 "," ? 3,027.31 ",17.87,61%
Vendor_04,Epsilon_Group,2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes,8.43," ? 1,78,576.64 "," ? 2,749.12 ",3.00,98%
Vendor_03,Delta_Logistics,2022,MRO,Cancelled,865,14.7,13.14,135,No,9.36," ? 11,366.10 "," ? 1,349.40 ",15.61,39%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,1344,12.5,10.87,44,Yes,72.29," ? 14,609.28 "," ? 2,190.72 ",3.27,98%
Vendor_03,Delta_Logistics,2022,Raw Materials,Pending,505,45.42,40.37,62,Yes,9.94," ? 20,386.85 "," ? 2,550.25 ",12.28,61%
Vendor_02,Beta_Supplies,2023,Packaging,Delivered,1535,90.83,78.28,151,No,70.51," ? 1,20,159.80 "," ? 19,264.25 ",9.84,24%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,1800,103.8,96.27,166,Yes,70.51," ? 1,73,286.00 "," ? 13,554.00 ",9.22,76%
Vendor_03,Delta_Logistics,2022,Raw Materials,Pending,1325,24.36,22.75,206,Yes,9.94," ? 30,143.75 "," ? 2,133.25 ",15.55,61%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1066,70.45,65.88,56,No,72.03," ? 70,228.08 "," ? 4,871.62 ",5.25,14%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1775,47.82,45.86,180,Yes,70.51," ? 81,401.50 "," ? 3,479.00 ",10.14,76%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,345,103.62,98.09,25,No,12.59," ? 33,841.05 "," ? 1,907.85 ",7.25,14%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1798,94.8,91.83,105,Yes,70.51," ? 1,65,110.34 "," ? 5,340.06 ",5.84,76%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,769,91.86,86.55,17,Yes,75.89," ? 66,556.95 "," ? 4,083.39 ",2.21,94%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1822,53.23,47.49,39,Yes,75.89," ? 86,526.78 "," ? 10,458.28 ",2.14,94%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,387,49.23,45.41,61,Yes,70.18," ? 17,573.67 "," ? 1,478.34 ",15.76,61%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,928,35.3,32.52,26,Yes,72.29," ? 30,178.56 "," ? 2,579.84 ",2.80,98%
Vendor_01,Alpha_Inc,2022,Packaging,Partially Delivered,1126,15.68,14.97,27,Yes,7.09," ? 16,856.22 ", ? 799.46 ,2.40,94%
Vendor_02,Beta_Supplies,2023,Raw Materials,Cancelled,841,95.73,85.33,81,Yes,8.97," ? 71,762.53 "," ? 8,746.40 ",9.63,76%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1995,90.65,77.75,206,Yes,70.51," ? 1,55,111.25 "," ? 25,735.50 ",10.33,76%
Vendor_01,Alpha_Inc,2022,Raw Materials,Delivered,266,103.97,101.44,6,Yes,75.89," ? 26,983.04 ", ? 672.98 ,2.26,94%
Vendor_01,Alpha_Inc,2023,Raw Materials,Cancelled,813,109.17,107.39,14,Yes,9.22," ? 87,308.07 "," ? 1,447.14 ",1.72,94%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,237,64.19,59.01,7,Yes,72.29," ? 13,985.37 "," ? 1,227.66 ",2.95,98%
Vendor_01,Alpha_Inc,2023,Office Supplies,Cancelled,429,86.73,75.09,9,Yes,9.22," ? 32,213.61 "," ? 4,993.56 ",2.10,94%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,542,101.21,93.11,78,No,70.18," ? 50,465.62 "," ? 4,390.20 ",14.39,39%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1114,91.66,85.53,35,Yes,72.29," ? 95,280.42 "," ? 6,828.82 ",3.14,98%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,1230,33.39,30.85,26,Yes,75.89," ? 37,945.50 "," ? 3,124.20 ",2.11,94%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,64,51.56,50.88,5,Yes,70.51," ? 3,256.32 ", ? 43.52 ,7.81,76%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,1886,23.46,23.18,24,Yes,75.89," ? 43,717.48 ", ? 528.08 ,1.27,94%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,114,103.53,101.54,14,Yes,70.18," ? 11,575.56 ", ? 226.86 ,12.28,61%
Vendor_03,Delta_Logistics,2022,Electronics,Cancelled,1930,65.52,56.9,282,Yes,9.36," ? 1,09,817.00 "," ? 16,636.60 ",14.61,61%
Vendor_02,Beta_Supplies,2022,Office Supplies,Pending,1912,30.73,29.82,191,Yes,12.18," ? 57,015.84 "," ? 1,739.92 ",9.99,76%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,570,71.51,66.47,33,Yes,72.29," ? 37,887.90 "," ? 2,872.80 ",5.79,98%
Vendor_02,Beta_Supplies,2022,Raw Materials,Delivered,1417,67.27,60.62,105,Yes,70.51," ? 85,898.54 "," ? 9,423.05 ",7.41,76%
Vendor_01,Alpha_Inc,2023,Raw Materials,Delivered,1202,46.67,44.13,21,No,75.89," ? 53,044.26 "," ? 3,053.08 ",1.75,6%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,697,20.73,19.83,78,No,70.51," ? 13,821.51 ", ? 627.30 ,11.19,24%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,1545,78.19,76.91,42,Yes,72.29," ? 1,18,825.95 "," ? 1,977.60 ",2.72,98%
Vendor_05,Gamma_Co,2023,MRO,Partially Delivered,1136,60.81,58.25,62,Yes,12.59," ? 66,172.00 "," ? 2,908.16 ",5.46,86%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,1212,87.46,74.55,118,No,70.51," ? 90,354.60 "," ? 15,646.92 ",9.74,24%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1572,57.38,49.32,40,Yes,72.29," ? 77,531.04 "," ? 12,670.32 ",2.54,98%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,642,91.9,81.49,26,Yes,72.03," ? 52,316.58 "," ? 6,683.22 ",4.05,86%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,441,63.25,54.12,16,Yes,72.29," ? 23,866.92 "," ? 4,026.33 ",3.63,98%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,1748,66.53,57.11,33,Yes,72.29," ? 99,828.28 "," ? 16,466.16 ",1.89,98%
Vendor_05,Gamma_Co,2023,Electronics,Pending,468,95.57,91.8,24,Yes,11.19," ? 42,962.40 "," ? 1,764.36 ",5.13,86%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,338,50.25,46.28,49,No,70.51," ? 15,642.64 "," ? 1,341.86 ",14.50,24%
Vendor_05,Gamma_Co,2022,Office Supplies,Delivered,428,22.94,21.52,26,Yes,72.03," ? 9,210.56 ", ? 607.76 ,6.07,86%
Vendor_02,Beta_Supplies,2023,Packaging,Delivered,1846,13.72,12.62,216,Yes,70.51," ? 23,296.52 "," ? 2,030.60 ",11.70,76%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,1563,77.96,70.8,41,Yes,72.29," ? 1,10,660.40 "," ? 11,191.08 ",2.62,98%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,280,73.07,69.29,30,Yes,70.51," ? 19,401.20 "," ? 1,058.40 ",10.71,76%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1067,74.47,64.16,155,No,70.18," ? 68,458.72 "," ? 11,000.77 ",14.53,39%
Vendor_05,Gamma_Co,2023,Electronics,Pending,90,32.38,29.96,7,Yes,11.19," ? 2,696.40 ", ? 217.80 ,7.78,86%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1101,24.28,22.73,59,No,72.03," ? 25,025.73 "," ? 1,706.55 ",5.36,14%
Vendor_01,Alpha_Inc,2022,Raw Materials,Delivered,184,11.82,10.51,4,Yes,75.89," ? 1,933.84 ", ? 241.04 ,2.17,94%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,250,45.92,41.02,3,Yes,72.29," ? 10,255.00 "," ? 1,225.00 ",1.20,98%
Vendor_04,Epsilon_Group,2022,Packaging,Cancelled,1913,66.56,61.34,61,Yes,8.43," ? 1,17,343.42 "," ? 9,985.86 ",3.19,98%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,829,45.98,40.39,105,Yes,70.51," ? 33,483.31 "," ? 4,634.11 ",12.67,76%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,979,51.59,49.69,148,Yes,70.18," ? 48,646.51 "," ? 1,860.10 ",15.12,61%
Vendor_04,Epsilon_Group,2023,Electronics,Partially Delivered,1106,97.77,90.45,31,Yes,8.43," ? 1,00,037.70 "," ? 8,095.92 ",2.80,98%
Vendor_03,Delta_Logistics,2022,Office Supplies,Pending,1121,42.38,38.34,152,Yes,9.94," ? 42,979.14 "," ? 4,528.84 ",13.56,61%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,552,60.48,56.78,10,Yes,75.89," ? 31,342.56 "," ? 2,042.40 ",1.81,94%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,456,80.53,77.86,26,Yes,72.03," ? 35,504.16 "," ? 1,217.52 ",5.70,86%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,1647,47.52,44.92,155,Yes,70.18," ? 73,983.24 "," ? 4,282.20 ",9.41,61%
Vendor_04,Epsilon_Group,2023,Electronics,Pending,1801,71.27,61.24,43,Yes,10.84," ? 1,10,293.24 "," ? 18,064.03 ",2.39,98%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,854,90.24,85.53,55,Yes,72.03," ? 73,042.62 "," ? 4,022.34 ",6.44,86%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,148,103.57,98.62,23,No,70.18," ? 14,595.76 ", ? 732.60 ,15.54,39%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,733,23.59,22.85,92,Yes,70.18," ? 16,749.05 ", ? 542.42 ,12.55,61%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1945,103.2,88.56,105,Yes,70.51," ? 1,72,249.20 "," ? 28,474.80 ",5.40,76%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,775,57,49.14,48,Yes,72.03," ? 38,083.50 "," ? 6,091.50 ",6.19,86%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1620,36.73,33.45,235,No,70.18," ? 54,189.00 "," ? 5,313.60 ",14.51,39%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,1010,55.68,50.86,105,Yes,70.51," ? 51,368.60 "," ? 4,868.20 ",10.40,76%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,1812,108.02,101.02,51,Yes,72.29," ? 1,83,048.24 "," ? 12,684.00 ",2.81,98%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,662,55.97,50,100,Yes,70.18," ? 33,100.00 "," ? 3,952.14 ",15.11,61%
