PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance
PO-00100,Beta_Supplies,29-11-2022,14-12-2022,MRO,Pending,1629,100.26,86.44,187,No
PO-00101,Alpha_Inc,27-02-2022,22-02-2022,Office Supplies,Delivered,211,75.69,65.4,2,Yes
PO-00102,Alpha_Inc,23-08-2022,,Office Supplies,Delivered,251,67.49,64.48,2,Yes
PO-00103,Gamma_Co,02-02-2022,18-02-2022,Raw Materials,Delivered,1045,47.88,44.65,69,Yes
PO-00104,Delta_Logistics,20-11-2022,10-12-2022,MRO,Delivered,319,98.64,89.15,57,Yes
PO-00105,Epsilon_Group,15-02-2023,01-03-2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes
PO-00106,Delta_Logistics,02-10-2022,22-10-2022,MRO,Cancelled,865,14.7,13.14,135,No
PO-00107,Epsilon_Group,09-03-2022,12-03-2022,Electronics,Delivered,1344,12.5,10.87,44,Yes
PO-00108,Delta_Logistics,05-08-2022,24-08-2022,Raw Materials,Pending,505,45.42,40.37,62,Yes
PO-00109,Beta_Supplies,04-08-2023,05-08-2023,Packaging,Delivered,1535,90.83,78.28,151,No
PO-00110,Beta_Supplies,19-11-2022,,Office Supplies,Delivered,1800,103.8,96.27,166,Yes
PO-00111,Delta_Logistics,06-08-2022,15-08-2022,Raw Materials,Pending,1325,24.36,22.75,206,Yes
PO-00112,Gamma_Co,03-11-2023,09-11-2023,Raw Materials,Delivered,1066,70.45,65.88,56,No
PO-00113,Beta_Supplies,27-05-2023,11-06-2023,Raw Materials,Delivered,1775,47.82,45.86,180,Yes
PO-00114,Gamma_Co,10-02-2023,,Raw Materials,Partially Delivered,345,103.62,98.09,25,No
PO-00115,Beta_Supplies,21-10-2023,09-11-2023,Electronics,Delivered,1798,94.8,91.83,,Yes
PO-00116,Alpha_Inc,15-04-2023,01-05-2023,MRO,Delivered,769,91.86,86.55,17,Yes
PO-00117,Alpha_Inc,27-05-2022,,Packaging,Delivered,1822,53.23,47.49,39,Yes
PO-00118,Delta_Logistics,29-09-2022,13-10-2022,Packaging,Delivered,387,49.23,45.41,61,Yes
PO-00119,Epsilon_Group,23-05-2022,27-05-2022,MRO,Delivered,928,35.3,32.52,26,Yes
PO-00120,Alpha_Inc,10-09-2022,21-09-2022,Packaging,Partially Delivered,1126,15.68,14.97,27,Yes
PO-00121,Beta_Supplies,29-07-2023,14-08-2023,Raw Materials,Cancelled,841,95.73,85.33,81,Yes
PO-00122,Beta_Supplies,06-07-2023,19-07-2023,Electronics,Delivered,1995,90.65,77.75,206,Yes
PO-00123,Alpha_Inc,27-09-2022,15-10-2022,Raw Materials,Delivered,266,103.97,101.44,6,Yes
PO-00124,Alpha_Inc,22-08-2023,25-08-2023,Raw Materials,Cancelled,813,109.17,107.39,14,Yes
PO-00125,Epsilon_Group,15-03-2023,26-03-2023,Electronics,Delivered,237,64.19,59.01,7,Yes
PO-00126,Alpha_Inc,21-08-2023,03-09-2023,Office Supplies,Cancelled,429,86.73,75.09,9,Yes
PO-00127,Delta_Logistics,13-02-2023,14-02-2023,Packaging,Delivered,542,101.21,93.11,78,No
PO-00128,Epsilon_Group,06-01-2023,24-01-2023,Electronics,Delivered,1114,91.66,85.53,35,Yes
PO-00129,Alpha_Inc,13-08-2022,15-08-2022,MRO,Delivered,1230,33.39,30.85,26,Yes
PO-00130,Beta_Supplies,22-05-2022,03-06-2022,MRO,Delivered,64,51.56,50.88,5,Yes
PO-00131,Alpha_Inc,06-06-2023,22-06-2023,MRO,Delivered,1886,23.46,23.18,,Yes
PO-00132,Delta_Logistics,21-05-2023,23-05-2023,Office Supplies,Delivered,114,103.53,101.54,14,Yes
PO-00133,Delta_Logistics,04-04-2022,22-04-2022,Electronics,Cancelled,1930,65.52,56.9,282,Yes
PO-00134,Beta_Supplies,18-02-2022,28-02-2022,Office Supplies,Pending,1912,30.73,29.82,191,Yes
PO-00135,Epsilon_Group,23-04-2022,09-05-2022,MRO,Delivered,570,71.51,66.47,,Yes
PO-00136,Beta_Supplies,06-06-2022,26-06-2022,Raw Materials,Delivered,1417,67.27,60.62,,Yes
PO-00137,Alpha_Inc,05-10-2023,11-10-2023,Raw Materials,Delivered,1202,46.67,44.13,21,No
PO-00138,Beta_Supplies,13-06-2022,14-06-2022,Office Supplies,Delivered,697,20.73,19.83,78,No
PO-00139,Epsilon_Group,28-11-2023,01-12-2023,MRO,Delivered,1545,78.19,76.91,42,Yes
PO-00140,Gamma_Co,09-03-2023,13-03-2023,MRO,Partially Delivered,1136,60.81,58.25,62,Yes
PO-00141,Beta_Supplies,03-09-2023,07-09-2023,MRO,Delivered,1212,87.46,74.55,118,No
PO-00142,Epsilon_Group,07-03-2022,12-03-2022,MRO,Delivered,1572,57.38,49.32,40,Yes
PO-00143,Gamma_Co,30-01-2023,09-02-2023,Electronics,Delivered,642,91.9,81.49,26,Yes
PO-00144,Epsilon_Group,26-01-2023,04-02-2023,Office Supplies,Delivered,441,63.25,54.12,16,Yes
PO-00145,Epsilon_Group,03-09-2023,19-09-2023,Office Supplies,Delivered,1748,66.53,57.11,,Yes
PO-00146,Gamma_Co,25-04-2023,,Electronics,Pending,468,95.57,91.8,24,Yes
PO-00147,Beta_Supplies,26-06-2023,14-07-2023,Raw Materials,Delivered,338,50.25,46.28,49,No
PO-00148,Gamma_Co,15-09-2022,22-09-2022,Office Supplies,Delivered,428,22.94,21.52,26,Yes
PO-00149,Beta_Supplies,21-07-2023,,Packaging,Delivered,1846,13.72,12.62,216,Yes
PO-00150,Epsilon_Group,12-01-2022,17-01-2022,Office Supplies,Delivered,1563,77.96,70.8,41,Yes
PO-00151,Beta_Supplies,28-11-2023,07-12-2023,Office Supplies,Delivered,280,73.07,69.29,30,Yes
PO-00152,Delta_Logistics,28-04-2022,12-05-2022,Raw Materials,Delivered,1067,74.47,64.16,,No
PO-00153,Gamma_Co,30-11-2023,17-12-2023,Electronics,Pending,90,32.38,29.96,7,Yes
PO-00154,Gamma_Co,04-07-2023,05-07-2023,Raw Materials,Delivered,1101,24.28,22.73,59,No
PO-00155,Alpha_Inc,01-10-2022,11-10-2022,Raw Materials,Delivered,184,11.82,10.51,4,Yes
PO-00156,Epsilon_Group,19-10-2023,07-11-2023,Electronics,Delivered,250,45.92,41.02,3,Yes
PO-00157,Epsilon_Group,15-12-2022,,Packaging,Cancelled,1913,66.56,61.34,61,Yes
PO-00158,Beta_Supplies,25-04-2022,30-04-2022,Electronics,Delivered,829,45.98,40.39,,Yes
PO-00159,Delta_Logistics,28-10-2022,13-11-2022,Raw Materials,Delivered,979,51.59,49.69,148,Yes
PO-00160,Epsilon_Group,22-03-2023,09-04-2023,Electronics,Partially Delivered,1106,97.77,90.45,31,Yes
PO-00161,Delta_Logistics,11-06-2022,24-06-2022,Office Supplies,Pending,1121,42.38,38.34,152,Yes
PO-00162,Alpha_Inc,10-04-2023,21-04-2023,Office Supplies,Delivered,552,60.48,56.78,10,Yes
PO-00163,Gamma_Co,04-01-2022,12-01-2022,Packaging,Delivered,456,80.53,77.86,26,Yes
PO-00164,Delta_Logistics,27-09-2022,05-10-2022,Packaging,Delivered,1647,47.52,44.92,,Yes
PO-00165,Epsilon_Group,28-05-2023,11-06-2023,Electronics,Pending,1801,71.27,61.24,43,Yes
PO-00166,Gamma_Co,02-07-2022,18-07-2022,Electronics,Delivered,854,90.24,85.53,,Yes
PO-00167,Delta_Logistics,04-06-2023,17-06-2023,Electronics,Delivered,148,103.57,98.62,23,No
PO-00168,Delta_Logistics,19-04-2022,24-04-2022,MRO,Delivered,733,23.59,22.85,92,Yes
PO-00169,Beta_Supplies,03-10-2023,05-10-2023,Raw Materials,Delivered,1945,103.2,88.56,,Yes
PO-00170,Gamma_Co,02-11-2022,21-11-2022,Raw Materials,Delivered,775,57,49.14,48,Yes
PO-00171,Delta_Logistics,17-10-2023,21-10-2023,Packaging,Delivered,1620,36.73,33.45,235,No
PO-00172,Beta_Supplies,04-06-2023,19-06-2023,Office Supplies,Delivered,1010,55.68,50.86,,Yes
PO-00173,Epsilon_Group,16-09-2023,01-10-2023,Office Supplies,Delivered,1812,108.02,101.02,51,Yes
PO-00174,Delta_Logistics,23-07-2022,28-07-2022,Office Supplies,Delivered,662,55.97,50,100,Yes
PO-00175,Beta_Supplies,06-06-2022,11-06-2022,Office Supplies,Pending,1535,40.58,38.71,165,Yes
PO-00176,Beta_Supplies,18-01-2023,27-01-2023,Raw Materials,Delivered,692,71.03,67.74,70,Yes
PO-00177,Gamma_Co,15-06-2022,28-06-2022,MRO,Delivered,1842,32.4,28.08,96,Yes
PO-00178,Beta_Supplies,07-07-2023,18-07-2023,Office Supplies,Cancelled,1078,18.34,17.41,102,Yes
PO-00179,Delta_Logistics,28-06-2023,16-07-2023,Packaging,Delivered,1291,23.44,22.23,,Yes
PO-00180,Alpha_Inc,01-01-2022,12-01-2022,Electronics,Delivered,552,21.52,18.79,13,Yes
PO-00181,Epsilon_Group,06-09-2023,22-09-2023,Electronics,Delivered,816,26.04,25.61,28,Yes
PO-00182,Delta_Logistics,28-11-2022,30-11-2022,Packaging,Delivered,447,23.62,21.81,50,Yes
PO-00183,Delta_Logistics,16-05-2023,24-05-2023,Packaging,Partially Delivered,920,73.09,70.14,,Yes
PO-00184,Epsilon_Group,20-01-2022,30-01-2022,Packaging,Partially Delivered,844,26.37,25.08,38,Yes
PO-00185,Epsilon_Group,25-04-2022,,MRO,Delivered,442,41.73,36.45,15,Yes
PO-00186,Beta_Supplies,07-01-2023,21-01-2023,Electronics,Cancelled,256,96.15,83.44,26,Yes
PO-00187,Delta_Logistics,11-11-2022,,MRO,Partially Delivered,1088,55.29,53.04,161,No
PO-00188,Beta_Supplies,03-09-2022,07-09-2022,Office Supplies,Delivered,1931,72.88,64.69,187,Yes
PO-00189,Gamma_Co,01-03-2022,11-03-2022,Electronics,Delivered,1627,25.76,25.09,74,Yes
PO-00190,Beta_Supplies,04-09-2022,,Packaging,Delivered,941,28.4,27.21,,No
PO-00191,Gamma_Co,04-08-2023,06-08-2023,MRO,Delivered,1534,14.98,12.79,,Yes
PO-00192,Alpha_Inc,22-03-2022,03-04-2022,Raw Materials,Delivered,1764,25.46,24.52,46,Yes
PO-00193,Delta_Logistics,29-03-2022,06-04-2022,Electronics,Delivered,1648,35.42,31.46,,No
PO-00194,Gamma_Co,13-05-2023,01-06-2023,Packaging,Delivered,913,28.01,24.06,53,Yes
PO-00195,Alpha_Inc,12-03-2022,18-03-2022,Packaging,Cancelled,792,18.16,17.25,17,Yes
PO-00196,Epsilon_Group,30-06-2023,03-07-2023,Office Supplies,Partially Delivered,1314,22.63,21.06,44,Yes
PO-00197,Beta_Supplies,09-05-2022,22-05-2022,MRO,Delivered,613,52.5,45.19,70,Yes
PO-00198,Alpha_Inc,12-05-2022,20-05-2022,Office Supplies,Delivered,1070,29.14,26.63,24,Yes
PO-00199,Gamma_Co,07-11-2023,26-11-2023,Raw Materials,Partially Delivered,145,47.49,42.76,6,Yes
PO-00200,Delta_Logistics,02-05-2023,17-05-2023,Raw Materials,Delivered,1973,59.73,54.95,291,Yes
PO-00201,Epsilon_Group,17-07-2023,01-08-2023,Office Supplies,Delivered,1807,78.63,73.08,100,Yes
PO-00202,Epsilon_Group,19-06-2022,20-06-2022,Electronics,Delivered,534,13.88,12.51,100,Yes
PO-00203,Alpha_Inc,29-09-2022,14-10-2022,Electronics,Delivered,1480,85.22,75.48,100,Yes
PO-00204,Alpha_Inc,25-06-2023,,Office Supplies,Delivered,280,72.16,62.38,100,Yes
PO-00205,Beta_Supplies,14-09-2023,20-09-2023,Office Supplies,Cancelled,798,19.09,17.76,100,Yes
PO-00206,Epsilon_Group,10-03-2023,22-03-2023,Electronics,Delivered,1728,94.83,90.2,100,Yes
PO-00207,Epsilon_Group,05-08-2022,,MRO,Delivered,1244,96.13,84.78,43,Yes
PO-00208,Beta_Supplies,07-07-2023,21-07-2023,Office Supplies,Delivered,590,16.89,15.56,46,No
PO-00209,Delta_Logistics,08-12-2023,23-12-2023,Packaging,Delivered,1109,38.93,33.33,152,Yes
PO-00210,Beta_Supplies,25-07-2022,01-08-2022,MRO,Delivered,574,85.03,82.55,54,Yes
PO-00211,Gamma_Co,01-01-2024,,Office Supplies,Delivered,1233,86.62,76.59,65,Yes
PO-00212,Gamma_Co,16-11-2022,20-11-2022,Packaging,Delivered,1912,27.94,25.59,83,No
PO-00213,Alpha_Inc,13-02-2023,04-03-2023,Packaging,Delivered,1772,30.72,27.76,46,No
PO-00214,Beta_Supplies,19-11-2023,29-11-2023,Office Supplies,Delivered,1316,48.11,41.9,135,Yes
PO-00215,Beta_Supplies,28-10-2023,,Office Supplies,Delivered,1159,59.24,58.08,,Yes
PO-00216,Alpha_Inc,18-01-2023,31-01-2023,Office Supplies,Delivered,1869,69.58,67.5,31,Yes
PO-00217,Delta_Logistics,25-03-2023,13-04-2023,Packaging,Delivered,627,46.23,42.87,,Yes
PO-00218,Beta_Supplies,14-06-2023,16-06-2023,Raw Materials,Pending,731,56.02,54.78,70,No
PO-00219,Epsilon_Group,08-04-2023,,Office Supplies,Cancelled,606,83.07,79.22,16,Yes
PO-00220,Beta_Supplies,04-05-2022,14-05-2022,Office Supplies,Delivered,1647,13.57,12.33,157,Yes
PO-00221,Delta_Logistics,11-09-2022,19-09-2022,MRO,Delivered,1062,34.03,30.46,,Yes
PO-00222,Beta_Supplies,19-08-2022,31-08-2022,Office Supplies,Delivered,695,76.8,69.76,,No
PO-00223,Epsilon_Group,07-03-2022,14-03-2022,MRO,Delivered,845,91.47,86.97,,Yes
PO-00224,Gamma_Co,13-12-2022,18-12-2022,MRO,Delivered,1101,59.13,52.51,54,Yes
PO-00225,Gamma_Co,22-01-2022,24-01-2022,Raw Materials,Delivered,1693,57.89,49.84,88,Yes
PO-00226,Delta_Logistics,26-08-2023,10-09-2023,Office Supplies,Cancelled,1629,21.51,19.41,250,No
PO-00227,Delta_Logistics,22-07-2023,03-08-2023,Raw Materials,Delivered,1413,54.79,50.42,,Yes
PO-00228,Epsilon_Group,24-08-2022,27-08-2022,Packaging,Delivered,1871,59.96,58.54,47,Yes
PO-00229,Gamma_Co,26-08-2023,,Raw Materials,Delivered,1404,34.85,30.5,78,Yes
PO-00230,Gamma_Co,14-08-2022,28-08-2022,Electronics,Delivered,1713,35.43,34.11,74,Yes
PO-00231,Gamma_Co,08-01-2022,13-01-2022,Electronics,Delivered,1579,43.96,43.41,74,Yes
PO-00232,Gamma_Co,14-03-2022,26-03-2022,Electronics,Delivered,1421,11.92,11.72,76,Yes
PO-00233,Epsilon_Group,26-12-2023,04-01-2024,MRO,Delivered,1546,43.47,37.37,53,Yes
PO-00234,Delta_Logistics,09-10-2023,18-10-2023,Electronics,Delivered,1304,32.08,29.36,,Yes
PO-00235,Delta_Logistics,02-03-2022,,Raw Materials,Delivered,239,39.87,35.47,32,Yes
PO-00236,Alpha_Inc,23-08-2022,,Office Supplies,Delivered,1298,21.51,20.83,,Yes
PO-00237,Delta_Logistics,11-03-2022,,MRO,Delivered,1458,91.05,81.56,220,Yes
PO-00238,Gamma_Co,02-02-2022,13-02-2022,MRO,Delivered,1450,63.74,59.11,71,Yes
PO-00239,Beta_Supplies,05-12-2022,20-12-2022,Electronics,Delivered,1356,75.03,63.86,131,Yes
PO-00240,Gamma_Co,14-03-2022,,Packaging,Delivered,682,81.84,71.86,40,Yes
PO-00241,Gamma_Co,11-06-2023,19-06-2023,Packaging,Delivered,677,59.52,55.29,39,Yes
PO-00242,Delta_Logistics,01-09-2022,14-09-2022,Office Supplies,Delivered,1022,18.54,16.55,150,Yes
PO-00243,Alpha_Inc,13-10-2022,,Raw Materials,Delivered,1818,60.96,57.13,41,Yes
PO-00244,Epsilon_Group,17-11-2023,29-11-2023,Electronics,Delivered,1332,69.73,63.8,41,Yes
PO-00245,Beta_Supplies,13-05-2023,26-05-2023,Raw Materials,Delivered,1432,83.26,77.67,174,Yes
PO-00246,Beta_Supplies,08-08-2022,26-08-2022,Packaging,Pending,759,50.56,46.47,63,No
PO-00247,Alpha_Inc,07-07-2023,19-07-2023,Packaging,Delivered,1529,23.42,22.44,30,Yes
PO-00248,Gamma_Co,16-05-2022,25-05-2022,Electronics,Delivered,1484,36.25,31.8,61,Yes
PO-00249,Epsilon_Group,08-08-2023,20-08-2023,Packaging,Delivered,698,46.73,45.61,15,Yes
PO-00250,Epsilon_Group,14-08-2023,22-08-2023,Packaging,Pending,367,74.61,71.36,13,Yes
PO-00251,Epsilon_Group,30-04-2023,20-05-2023,Office Supplies,Partially Delivered,1750,65.97,58.34,50,Yes
PO-00252,Delta_Logistics,06-09-2022,24-09-2022,Office Supplies,Partially Delivered,1298,43.73,37.21,,No
