Column1,Vendor_Name,Order Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Status_Rate,Total Spend,Savings,Defective_Rate,Comp_rate,Negot_Rate
Vendor_03,Delta_Logistics,2022,Office Supplies,Pending,1007,52.44,46.06,167,Yes,10%,46382.42,6424.66,17%,61%,12%
Vendor_01,Alpha_Inc,2023,MRO,Pending,736,16.2,15.33,18,Yes,8%,11282.88,640.32,2%,94%,5%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1007,22.56,19.59,33,Yes,72%,19727.13,2990.79,3%,98%,13%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,612,20.99,19.75,102,Yes,70%,12087,758.88,17%,61%,6%
Vendor_01,Alpha_Inc,2023,MRO,Pending,1949,72.53,63.26,48,No,8%,123293.74,18067.23,2%,6%,13%
Vendor_03,Delta_Logistics,2022,Office Supplies,Cancelled,1640,77.92,76.41,262,No,9%,125312.4,2476.4,16%,39%,2%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1317,68.13,60.52,136,Yes,71%,79704.84,10022.37,10%,76%,11%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,881,100.94,95.05,30,Yes,72%,83739.05,5189.09,3%,98%,6%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1578,48.33,42.77,206,Yes,70%,67491.06,8773.68,13%,61%,12%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,1204,39.29,35.44,155,Yes,70%,42669.76,4635.4,13%,61%,10%
Vendor_04,Epsilon_Group,2023,MRO,Pending,1558,93.46,91.27,39,Yes,11%,142198.66,3412.02,3%,98%,2%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1892,32.99,28.81,35,Yes,76%,54508.52,7908.56,2%,94%,13%
Vendor_04,Epsilon_Group,2022,Packaging,Delivered,696,99.59,90.18,25,Yes,72%,62765.28,6549.36,4%,98%,9%
Vendor_03,Delta_Logistics,2023,MRO,Partially Delivered,70,12.37,11.04,10,Yes,11%,772.8,93.1,14%,61%,11%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,890,98.26,93.14,49,Yes,72%,82894.6,4556.8,6%,86%,5%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,216,13.95,12.31,5,Yes,76%,2658.96,354.24,2%,94%,12%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1347,100.13,94.3,200,Yes,70%,127022.1,7853.01,15%,61%,6%
Vendor_05,Gamma_Co,2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,No,13%,24668.65,1337.22,6%,14%,5%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,650,103.84,88.28,12,Yes,76%,57382,10114,2%,94%,15%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,365,16.81,15.41,38,Yes,71%,5624.65,511,10%,76%,8%
Vendor_04,Epsilon_Group,2022,Raw Materials,Cancelled,63,61.94,53.8,33,Yes,8%,3389.4,512.82,52%,98%,13%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,291,98.7,87.02,9,Yes,76%,25322.82,3398.88,3%,94%,12%
Vendor_01,Alpha_Inc,2023,MRO,Cancelled,826,60.5,57.18,18,Yes,9%,47230.68,2742.32,2%,94%,5%
Vendor_03,Delta_Logistics,2022,Electronics,Pending,1419,69.64,59.28,194,Yes,10%,84118.32,14700.84,14%,61%,15%
Vendor_05,Gamma_Co,2023,Office Supplies,Delivered,614,78.06,73.95,40,Yes,72%,45405.3,2523.54,7%,86%,5%
Vendor_01,Alpha_Inc,2023,Electronics,Delivered,947,56.25,54.25,19,Yes,76%,51374.75,1894,2%,94%,4%
Vendor_04,Epsilon_Group,2023,Raw Materials,Delivered,1413,70.47,69.65,33,Yes,72%,98415.45,1158.66,2%,98%,1%
Vendor_01,Alpha_Inc,2022,Office Supplies,Partially Delivered,141,64.15,58.32,24,Yes,7%,8223.12,822.03,17%,94%,9%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,1440,96.57,83.87,36,Yes,76%,120772.8,18288,3%,94%,13%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1005,14.87,12.79,155,No,70%,12853.95,2090.4,15%,39%,14%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,1528,36.52,33,31,No,76%,50424,5378.56,2%,6%,10%
Vendor_05,Gamma_Co,2023,MRO,Delivered,1501,106.05,100.99,77,No,72%,151585.99,7595.06,5%,14%,5%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,558,94.18,81.4,155,No,70%,45421.2,7131.24,28%,39%,14%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,825,56.88,50.84,105,Yes,71%,41943,4983,13%,76%,11%
Vendor_02,Beta_Supplies,2023,Electronics,Cancelled,84,73.38,71.42,9,Yes,9%,5999.28,164.64,11%,76%,3%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,255,38.64,33.59,27,No,70%,8565.45,1287.75,11%,39%,13%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1154,27.2,26.07,58,Yes,72%,30084.78,1304.02,5%,86%,4%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,1635,56.91,54.37,262,No,70%,88894.95,4152.9,16%,39%,4%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1945,46.19,40.12,278,No,70%,78033.4,11806.15,14%,39%,13%
Vendor_03,Delta_Logistics,2022,MRO,Partially Delivered,1461,64.09,63.39,228,No,11%,92612.79,1022.7,16%,39%,1%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,1075,18.53,16.12,147,Yes,70%,17329,2590.75,14%,61%,13%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1071,101.6,93.91,25,Yes,76%,100577.61,8235.99,2%,94%,8%
Vendor_04,Epsilon_Group,2022,Packaging,Pending,1463,101.23,86.17,43,Yes,11%,126066.71,22032.78,3%,98%,15%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,615,78.3,73.68,69,Yes,71%,45313.2,2841.3,11%,76%,6%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,1179,61.74,56.28,55,Yes,72%,66354.12,6437.34,5%,86%,9%
Vendor_01,Alpha_Inc,2022,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes,7%,69427.35,3560.85,2%,94%,5%
Vendor_02,Beta_Supplies,2023,Electronics,Cancelled,1895,91.98,86.27,170,Yes,9%,163481.65,10820.45,9%,76%,6%
Vendor_04,Epsilon_Group,2023,MRO,Partially Delivered,1550,79.86,69.57,32,No,8%,107833.5,15949.5,2%,86%,13%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,752,26.85,24.37,155,No,70%,18326.24,1864.96,21%,39%,9%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,451,95.2,90.07,21,Yes,72%,40621.57,2313.63,5%,98%,5%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,779,93.69,90.92,66,Yes,71%,70826.68,2157.83,8%,76%,3%
Vendor_02,Beta_Supplies,2022,MRO,Pending,1629,100.26,86.44,187,No,12%,140810.76,22512.78,11%,24%,14%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,211,75.69,65.4,2,Yes,76%,13799.4,2171.19,1%,94%,14%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,251,67.49,64.48,2,Yes,76%,16184.48,755.51,1%,94%,4%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,1045,47.88,44.65,69,Yes,72%,46659.25,3375.35,7%,86%,7%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,319,98.64,89.15,57,Yes,70%,28438.85,3027.31,18%,61%,10%
Vendor_04,Epsilon_Group,2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes,8%,178576.64,2749.12,3%,98%,2%
Vendor_03,Delta_Logistics,2022,MRO,Cancelled,865,14.7,13.14,135,No,9%,11366.1,1349.4,16%,39%,11%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,1344,12.5,10.87,44,Yes,72%,14609.28,2190.72,3%,98%,13%
Vendor_03,Delta_Logistics,2022,Raw Materials,Pending,505,45.42,40.37,62,Yes,10%,20386.85,2550.25,12%,61%,11%
Vendor_02,Beta_Supplies,2023,Packaging,Delivered,1535,90.83,78.28,151,No,71%,120159.8,19264.25,10%,24%,14%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,1800,103.8,96.27,166,Yes,71%,173286,13554,9%,76%,7%
Vendor_03,Delta_Logistics,2022,Raw Materials,Pending,1325,24.36,22.75,206,Yes,10%,30143.75,2133.25,16%,61%,7%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1066,70.45,65.88,56,No,72%,70228.08,4871.62,5%,14%,6%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1775,47.82,45.86,180,Yes,71%,81401.5,3479,10%,76%,4%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,345,103.62,98.09,25,No,13%,33841.05,1907.85,7%,14%,5%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1798,94.8,91.83,105,Yes,71%,165110.34,5340.06,6%,76%,3%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,769,91.86,86.55,17,Yes,76%,66556.95,4083.39,2%,94%,6%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1822,53.23,47.49,39,Yes,76%,86526.78,10458.28,2%,94%,11%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,387,49.23,45.41,61,Yes,70%,17573.67,1478.34,16%,61%,8%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,928,35.3,32.52,26,Yes,72%,30178.56,2579.84,3%,98%,8%
Vendor_01,Alpha_Inc,2022,Packaging,Partially Delivered,1126,15.68,14.97,27,Yes,7%,16856.22,799.46,2%,94%,5%
Vendor_02,Beta_Supplies,2023,Raw Materials,Cancelled,841,95.73,85.33,81,Yes,9%,71762.53,8746.4,10%,76%,11%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1995,90.65,77.75,206,Yes,71%,155111.25,25735.5,10%,76%,14%
Vendor_01,Alpha_Inc,2022,Raw Materials,Delivered,266,103.97,101.44,6,Yes,76%,26983.04,672.98,2%,94%,2%
Vendor_01,Alpha_Inc,2023,Raw Materials,Cancelled,813,109.17,107.39,14,Yes,9%,87308.07,1447.14,2%,94%,2%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,237,64.19,59.01,7,Yes,72%,13985.37,1227.66,3%,98%,8%
Vendor_01,Alpha_Inc,2023,Office Supplies,Cancelled,429,86.73,75.09,9,Yes,9%,32213.61,4993.56,2%,94%,13%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,542,101.21,93.11,78,No,70%,50465.62,4390.2,14%,39%,8%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1114,91.66,85.53,35,Yes,72%,95280.42,6828.82,3%,98%,7%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,1230,33.39,30.85,26,Yes,76%,37945.5,3124.2,2%,94%,8%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,64,51.56,50.88,5,Yes,71%,3256.32,43.52,8%,76%,1%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,1886,23.46,23.18,24,Yes,76%,43717.48,528.08,1%,94%,1%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,114,103.53,101.54,14,Yes,70%,11575.56,226.86,12%,61%,2%
Vendor_03,Delta_Logistics,2022,Electronics,Cancelled,1930,65.52,56.9,282,Yes,9%,109817,16636.6,15%,61%,13%
Vendor_02,Beta_Supplies,2022,Office Supplies,Pending,1912,30.73,29.82,191,Yes,12%,57015.84,1739.92,10%,76%,3%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,570,71.51,66.47,33,Yes,72%,37887.9,2872.8,6%,98%,7%
Vendor_02,Beta_Supplies,2022,Raw Materials,Delivered,1417,67.27,60.62,105,Yes,71%,85898.54,9423.05,7%,76%,10%
Vendor_01,Alpha_Inc,2023,Raw Materials,Delivered,1202,46.67,44.13,21,No,76%,53044.26,3053.08,2%,6%,5%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,697,20.73,19.83,78,No,71%,13821.51,627.3,11%,24%,4%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,1545,78.19,76.91,42,Yes,72%,118825.95,1977.6,3%,98%,2%
Vendor_05,Gamma_Co,2023,MRO,Partially Delivered,1136,60.81,58.25,62,Yes,13%,66172,2908.16,5%,86%,4%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,1212,87.46,74.55,118,No,71%,90354.6,15646.92,10%,24%,15%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1572,57.38,49.32,40,Yes,72%,77531.04,12670.32,3%,98%,14%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,642,91.9,81.49,26,Yes,72%,52316.58,6683.22,4%,86%,11%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,441,63.25,54.12,16,Yes,72%,23866.92,4026.33,4%,98%,14%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,1748,66.53,57.11,33,Yes,72%,99828.28,16466.16,2%,98%,14%
Vendor_05,Gamma_Co,2023,Electronics,Pending,468,95.57,91.8,24,Yes,11%,42962.4,1764.36,5%,86%,4%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,338,50.25,46.28,49,No,71%,15642.64,1341.86,14%,24%,8%
Vendor_05,Gamma_Co,2022,Office Supplies,Delivered,428,22.94,21.52,26,Yes,72%,9210.56,607.76,6%,86%,6%
Vendor_02,Beta_Supplies,2023,Packaging,Delivered,1846,13.72,12.62,216,Yes,71%,23296.52,2030.6,12%,76%,8%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,1563,77.96,70.8,41,Yes,72%,110660.4,11191.08,3%,98%,9%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,280,73.07,69.29,30,Yes,71%,19401.2,1058.4,11%,76%,5%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1067,74.47,64.16,155,No,70%,68458.72,11000.77,15%,39%,14%
Vendor_05,Gamma_Co,2023,Electronics,Pending,90,32.38,29.96,7,Yes,11%,2696.4,217.8,8%,86%,7%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1101,24.28,22.73,59,No,72%,25025.73,1706.55,5%,14%,6%
Vendor_01,Alpha_Inc,2022,Raw Materials,Delivered,184,11.82,10.51,4,Yes,76%,1933.84,241.04,2%,94%,11%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,250,45.92,41.02,3,Yes,72%,10255,1225,1%,98%,11%
Vendor_04,Epsilon_Group,2022,Packaging,Cancelled,1913,66.56,61.34,61,Yes,8%,117343.42,9985.86,3%,98%,8%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,829,45.98,40.39,105,Yes,71%,33483.31,4634.11,13%,76%,12%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,979,51.59,49.69,148,Yes,70%,48646.51,1860.1,15%,61%,4%
Vendor_04,Epsilon_Group,2023,Electronics,Partially Delivered,1106,97.77,90.45,31,Yes,8%,100037.7,8095.92,3%,98%,7%
Vendor_03,Delta_Logistics,2022,Office Supplies,Pending,1121,42.38,38.34,152,Yes,10%,42979.14,4528.84,14%,61%,10%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,552,60.48,56.78,10,Yes,76%,31342.56,2042.4,2%,94%,6%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,456,80.53,77.86,26,Yes,72%,35504.16,1217.52,6%,86%,3%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,1647,47.52,44.92,155,Yes,70%,73983.24,4282.2,9%,61%,5%
Vendor_04,Epsilon_Group,2023,Electronics,Pending,1801,71.27,61.24,43,Yes,11%,110293.24,18064.03,2%,98%,14%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,854,90.24,85.53,55,Yes,72%,73042.62,4022.34,6%,86%,5%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,148,103.57,98.62,23,No,70%,14595.76,732.6,16%,39%,5%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,733,23.59,22.85,92,Yes,70%,16749.05,542.42,13%,61%,3%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1945,103.2,88.56,105,Yes,71%,172249.2,28474.8,5%,76%,14%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,775,57,49.14,48,Yes,72%,38083.5,6091.5,6%,86%,14%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1620,36.73,33.45,235,No,70%,54189,5313.6,15%,39%,9%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,1010,55.68,50.86,105,Yes,71%,51368.6,4868.2,10%,76%,9%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,1812,108.02,101.02,51,Yes,72%,183048.24,12684,3%,98%,6%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,662,55.97,50,100,Yes,70%,33100,3952.14,15%,61%,11%
Vendor_02,Beta_Supplies,2022,Office Supplies,Pending,1535,40.58,38.71,165,Yes,12%,59419.85,2870.45,11%,76%,5%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,692,71.03,67.74,70,Yes,71%,46876.08,2276.68,10%,76%,5%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1842,32.4,28.08,96,Yes,72%,51723.36,7957.44,5%,86%,13%
Vendor_02,Beta_Supplies,2023,Office Supplies,Cancelled,1078,18.34,17.41,102,Yes,9%,18767.98,1002.54,9%,76%,5%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1291,23.44,22.23,155,Yes,70%,28698.93,1562.11,12%,61%,5%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,552,21.52,18.79,13,Yes,76%,10372.08,1506.96,2%,94%,13%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,816,26.04,25.61,28,Yes,72%,20897.76,350.88,3%,98%,2%
Vendor_03,Delta_Logistics,2022,Packaging,Delivered,447,23.62,21.81,50,Yes,70%,9749.07,809.07,11%,61%,8%
Vendor_03,Delta_Logistics,2023,Packaging,Partially Delivered,920,73.09,70.14,155,Yes,11%,64528.8,2714,17%,61%,4%
Vendor_04,Epsilon_Group,2022,Packaging,Partially Delivered,844,26.37,25.08,38,Yes,8%,21167.52,1088.76,5%,98%,5%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,442,41.73,36.45,15,Yes,72%,16110.9,2333.76,3%,98%,13%
Vendor_02,Beta_Supplies,2023,Electronics,Cancelled,256,96.15,83.44,26,Yes,9%,21360.64,3253.76,10%,76%,13%
Vendor_03,Delta_Logistics,2022,MRO,Partially Delivered,1088,55.29,53.04,161,No,11%,57707.52,2448,15%,39%,4%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,1931,72.88,64.69,187,Yes,71%,124916.39,15814.89,10%,76%,11%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,1627,25.76,25.09,74,Yes,72%,40821.43,1090.09,5%,86%,3%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,941,28.4,27.21,105,No,71%,25604.61,1119.79,11%,24%,4%
Vendor_05,Gamma_Co,2023,MRO,Delivered,1534,14.98,12.79,55,Yes,72%,19619.86,3359.46,4%,86%,15%
Vendor_01,Alpha_Inc,2022,Raw Materials,Delivered,1764,25.46,24.52,46,Yes,76%,43253.28,1658.16,3%,94%,4%
Vendor_03,Delta_Logistics,2022,Electronics,Delivered,1648,35.42,31.46,155,No,70%,51846.08,6526.08,9%,39%,11%
Vendor_05,Gamma_Co,2023,Packaging,Delivered,913,28.01,24.06,53,Yes,72%,21966.78,3606.35,6%,86%,14%
Vendor_01,Alpha_Inc,2022,Packaging,Cancelled,792,18.16,17.25,17,Yes,9%,13662,720.72,2%,94%,5%
Vendor_04,Epsilon_Group,2023,Office Supplies,Partially Delivered,1314,22.63,21.06,44,Yes,8%,27672.84,2062.98,3%,98%,7%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,613,52.5,45.19,70,Yes,71%,27701.47,4481.03,11%,76%,14%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1070,29.14,26.63,24,Yes,76%,28494.1,2685.7,2%,94%,9%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,145,47.49,42.76,6,Yes,13%,6200.2,685.85,4%,86%,10%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1973,59.73,54.95,291,Yes,70%,108416.35,9430.94,15%,61%,8%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,1807,78.63,73.08,100,Yes,72%,132055.56,10028.85,6%,98%,7%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,534,13.88,12.51,100,Yes,72%,6680.34,731.58,19%,98%,10%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,1480,85.22,75.48,100,Yes,76%,111710.4,14415.2,7%,94%,11%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,280,72.16,62.38,100,Yes,76%,17466.4,2738.4,36%,94%,14%
